Name,Date,Time (East Coast),Location,Hist Ave Max Wind Speed,Hist Ave Visibility,Sea Level Pressure,Hist Ave Sea Level Pressure,Day Length,Notes,High Temp,Low Temp,Ave Temp,Temp at Launch Time,Hist High Temp,Hist Low Temp,Hist Ave Temp,Percipitation at Launch Time,Hist Ave Percipitation,Max Wind Speed,Visibility,Wind Speed at Launch Time,Crewed or Uncrewed,Wind Direction,Condition,Launched?
,04-Dec-58,,Cape Canaveral,,,30.22,,10:26,,75,68,71,,75,55,65,0,0.08,16,15,,,E,Cloudy,
,05-Dec-58,,Cape Canaveral,,,30.2,,10:26,,78,70,73.39,,75,55,65,0,0.09,14,10,,,E,Cloudy,
Pioneer 3,06-Dec-58,1:45,Cape Canaveral,,,30.25,,10:25,,73,0,60.21,62,75,55,65,0,0.09,15,10,11,Uncrewed,NE,Cloudy,Y
,07-Dec-58,,Cape Canaveral,,,30.28,,10:25,,76,57,66.04,,75,55,65,0,0.08,10,10,,,N,Partly Cloudy,
,08-Dec-58,,Cape Canaveral,,,30.23,,12:24,,79,60,70.52,,75,55,65,0,0.09,12,10,,,E,Partly Cloudy,
,01-Mar-59,,Cape Canaveral,,,30.13,,11:35,,78,0,60.92,,75,53,64,0,0.1,10,10,,,SE,Cloudy,
,02-Mar-59,,Cape Canaveral,,,30.19,,11:37,,82,0,65.12,,75,54,64,0,0.09,13,10,,,E,Partly Cloudy,
Pioneer 4,03-Mar-59,13:10,Cape Canaveral,,,30.13,,11:38,,78,0,69.65,78,75,54,64,0,0.1,20,7,12,Uncrewed,SE,Cloudy,Y
,04-Mar-59,,Cape Canaveral,,,30.11,,11:40,,77,0,66.72,,75,54,65,0,0.1,21,7,,,SE,Cloudy,
,05-Mar-59,,Cape Canaveral,,,30.12,,11:42,,81,67,72.63,,75,54,65,0,0.1,17,10,,,SE,Cloudy,
,21-Aug-61,,Cape Canaveral,,,29.98,,12:58,,86,0,58.63,,90,73,82,0,0.24,16,7,,,W,Cloudy,
,22-Aug-61,,Cape Canaveral,,,30.03,,12:57,,90,0,78.8,,90,73,82,0,0.25,15,10,,,E,Cloudy,
Ranger 1,23-Aug-61,11:04,Cape Canaveral,,,30.03,,12:56,,91,80,85.35,90,90,73,82,0,0.24,20,10,9,Uncrewed,SE,Partly Cloudy,Y
,24-Aug-61,,Cape Canaveral,,,30.01,,12:54,,91,0,81.32,,90,73,82,0,0.25,15,10,,,E,Mostly Cloudy,
,25-Aug-61,,Cape Canaveral,,,29.99,,12:53,,90,79,84.54,,90,73,82,0,0.25,16,10,,,NE,Partly Cloudy,
